results/fpppp_gshare_128KB.txt:sim_num_insn                  15917 # total number of instructions committed
results/fpppp_gshare_16KB.txt:sim_num_insn                  15917 # total number of instructions committed
results/fpppp_gshare_1MB.txt:sim_num_insn                  15917 # total number of instructions committed
results/fpppp_gshare_256KB.txt:sim_num_insn                  15917 # total number of instructions committed
results/fpppp_gshare_32KB.txt:sim_num_insn                  15917 # total number of instructions committed
results/fpppp_gshare_512KB.txt:sim_num_insn                  15917 # total number of instructions committed
results/fpppp_gshare_64KB.txt:sim_num_insn                  15917 # total number of instructions committed
results/gcc_gshare_128KB.txt:sim_num_insn               10000003 # total number of instructions committed
results/gcc_gshare_16KB.txt:sim_num_insn               10000003 # total number of instructions committed
results/gcc_gshare_1MB.txt:sim_num_insn               10000003 # total number of instructions committed
results/gcc_gshare_256KB.txt:sim_num_insn               10000003 # total number of instructions committed
results/gcc_gshare_32KB.txt:sim_num_insn               10000003 # total number of instructions committed
results/gcc_gshare_512KB.txt:sim_num_insn               10000003 # total number of instructions committed
results/gcc_gshare_64KB.txt:sim_num_insn               10000003 # total number of instructions committed
results/go_gshare_128KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/go_gshare_16KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/go_gshare_1MB.txt:sim_num_insn               10000000 # total number of instructions committed
results/go_gshare_256KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/go_gshare_32KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/go_gshare_512KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/go_gshare_64KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/ijpeg_gshare_128KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/ijpeg_gshare_16KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/ijpeg_gshare_1MB.txt:sim_num_insn               10000001 # total number of instructions committed
results/ijpeg_gshare_256KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/ijpeg_gshare_32KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/ijpeg_gshare_512KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/ijpeg_gshare_64KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/li_gshare_128KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/li_gshare_16KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/li_gshare_1MB.txt:sim_num_insn               10000000 # total number of instructions committed
results/li_gshare_256KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/li_gshare_32KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/li_gshare_512KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/li_gshare_64KB.txt:sim_num_insn               10000000 # total number of instructions committed
results/m88ksim_gshare_128KB.txt:sim_num_insn                 541138 # total number of instructions committed
results/m88ksim_gshare_16KB.txt:sim_num_insn                 541138 # total number of instructions committed
results/m88ksim_gshare_1MB.txt:sim_num_insn                 541138 # total number of instructions committed
results/m88ksim_gshare_256KB.txt:sim_num_insn                 541138 # total number of instructions committed
results/m88ksim_gshare_32KB.txt:sim_num_insn                 541138 # total number of instructions committed
results/m88ksim_gshare_512KB.txt:sim_num_insn                 541138 # total number of instructions committed
results/m88ksim_gshare_64KB.txt:sim_num_insn                 541138 # total number of instructions committed
results/perl_gshare_128KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/perl_gshare_16KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/perl_gshare_1MB.txt:sim_num_insn               10000001 # total number of instructions committed
results/perl_gshare_256KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/perl_gshare_32KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/perl_gshare_512KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/perl_gshare_64KB.txt:sim_num_insn               10000001 # total number of instructions committed
results/vortex_gshare_128KB.txt:sim_num_insn                 402533 # total number of instructions committed
results/vortex_gshare_16KB.txt:sim_num_insn                 402533 # total number of instructions committed
results/vortex_gshare_1MB.txt:sim_num_insn                 402533 # total number of instructions committed
results/vortex_gshare_256KB.txt:sim_num_insn                 402533 # total number of instructions committed
results/vortex_gshare_32KB.txt:sim_num_insn                 402533 # total number of instructions committed
results/vortex_gshare_512KB.txt:sim_num_insn                 402533 # total number of instructions committed
results/vortex_gshare_64KB.txt:sim_num_insn                 402533 # total number of instructions committed
